reference_number,watch_URL,brand,parent_model,specific_model,nickname,marketing_name,currency,price,image_URL,made_in,case_material,diameter,between_lugs,case_thickness,water_resistance,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description
B113/02960 - 113.300.85/0F01 0000R,https://www.corum-watches.com/collections/golden-bridge/classic/b113_02960-rose-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge Classic, Rose Gold Diamonds,,USD,76890.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Classic/B113_02960_2000x1300.jpg,Switzerland," 5N 18K rose gold, open back cover, double antireflective sapphire crystal, 84 round diamonds, ~ 2.58 ct",  34.00 x 51.00 mm,19/18 mm,  11.35 mm,  30 meters / 3 ATM,Alligator leather,Black,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Launched by CORUM in 1980, the Golden Bridge model remains a unique construction in watchmaking, an original creation where the linear movement forms both the calibre and most of the piece's dial. 
Scultural, technical and of rare aesthetic audacity, the baguette movement of the Golden Bridge is unrivalled in the world of Fine Watchmaking."
B113/03859 - 113.162.85/0F02 0000,https://www.corum-watches.com/collections/golden-bridge/classic/B113_03859-rose-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge Classic, Rose Gold Diamonds,,USD,72820.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Classic/B113_03859_2000x1300.jpg,Switzerland," 5N 18K rose gold, 319 round diamonds, ~ 1.39 ct",  34.00 x 51.00 mm,19/18 mm,  11.35 mm,  30 meters / 3 ATM,Alligator leather,Brown,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Launched by CORUM in 1980, the Golden Bridge model remains a unique construction in watchmaking, an original creation where the linear movement forms both the calibre and most of the piece's dial. 
Scultural, technical and of rare aesthetic audacity, the baguette movement of the Golden Bridge is unrivalled in the world of Fine Watchmaking."
B113/03198 - 113.162.69/0F01 0000,https://www.corum-watches.com/collections/golden-bridge/classic/B113_03198-white-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge Classic, White Gold Diamonds,,USD,79640.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Classic/B113_03198_2000x1300.jpg,Switzerland," 18K white gold, 319 round diamonds, ~ 1.39 ct",  34.00 x 51.00 mm,19/18 mm,  11.35 mm,  30 meters / 3 ATM,Alligator leather,Black,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Launched by CORUM in 1980, the Golden Bridge model remains a unique construction in watchmaking, an original creation where the linear movement forms both the calibre and most of the piece's dial. 
Scultural, technical and of rare aesthetic audacity, the baguette movement of the Golden Bridge is unrivalled in the world of Fine Watchmaking."
B113/02957 - 113.310.85/0F01 0000R,https://www.corum-watches.com/collections/golden-bridge/classic/B113_02957-rose-gold-baguette,Corum,Golden Bridge collection,Golden Bridge Classic, Rose Gold Baguette,,USD,139260.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Classic/B113_02957_2000x1300.jpg,Switzerland," 5N 18K rose gold, double antireflective sapphire crystal, sapphire case back, 45 baguette-cut sapphires, ~ 3.22 ct and 16 baguette-cut tsavorites, ~ 1.01 ct",  34 x 51 mm,19/18 mm,  11.35 mm,  30 meters / 3 ATM,Alligator leather,Black,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Launched by CORUM in 1980, the Golden Bridge model remains a unique construction in watchmaking, an original creation where the linear movement forms both the calibre and most of the piece's dial. 
Scultural, technical and of rare aesthetic audacity, the baguette movement of the Golden Bridge is unrivalled in the world of Fine Watchmaking."
B113/02955 - 113.310.69/0F01 0000G,https://www.corum-watches.com/collections/golden-bridge/classic/B113_02955-white-gold-baguette,Corum,Golden Bridge collection,Golden Bridge Classic, White Gold Baguette,,USD,161370.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Classic/B113_02955_2000x1300.jpg,Switzerland," 18K white gold, double antireflective sapphire crystal, sapphire case back, 54 baguette-cut sapphires, ~ 3.73 ct and 8 baguette-cut amethysts, ~ 0.37 ct",  35 x 51.20 mm,19/18 mm,  11.35 mm,  30 meters / 3 ATM,Alligator leather,Black,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Launched by CORUM in 1980, the Golden Bridge model remains a unique construction in watchmaking, an original creation where the linear movement forms both the calibre and most of the piece's dial. 
Scultural, technical and of rare aesthetic audacity, the baguette movement of the Golden Bridge is unrivalled in the world of Fine Watchmaking."
B113/00822 - 113.101.55/0001 0000,https://www.corum-watches.com/collections/golden-bridge/miss/B113_00822-rose-gold,Corum,Golden Bridge collection,Golden Bridge Miss, Rose Gold,,USD,36850.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Miss/B113_00822_2000x1300.jpg,Switzerland," 5N 18K rose gold, open back cover, double antireflective sapphire crystal",  21 x 43 mm,15/12 mm,  11.19 mm,  30 meters / 3 ATM,Alligator leather,Black,Pin buckle,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","In 2010, CORUM celebrates the thirtieth anniversary of this extraordinary caliber by revealing a timepiece with an original and unheard-of interpretation. 
The Golden Bridge Miss offers a feminine expression of a watch design milestone.  With the  Golden Bridge Miss, everything changes, but ultimately nothing changes."
B113/00821 - 113.101.59/0001 0000,https://www.corum-watches.com/collections/golden-bridge/miss/B113_00821-white-gold,Corum,Golden Bridge collection,Golden Bridge Miss, White Gold,,USD,38390.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Miss/B113_00821_2000x1300.jpg,Switzerland," 18K white gold, open back cover, double antireflective sapphire crystal",  21 x 43 mm,15/12 mm,  11.19 mm,  30 meters / 3 ATM,Alligator leather,Black,Pin buckle,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","In 2010, CORUM celebrates the thirtieth anniversary of this extraordinary caliber by revealing a timepiece with an original and unheard-of interpretation. 
The Golden Bridge Miss offers a feminine expression of a watch design milestone.  With the  Golden Bridge Miss, everything changes, but ultimately nothing changes."
B113/00824 - 113.102.85/0001 0000,https://www.corum-watches.com/collections/golden-bridge/miss/B113_00824-rose-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge Miss, Rose Gold Diamonds,,USD,43560.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Miss/B113_00824_2000x1300.jpg,Switzerland," 5N 18K rose gold, open back cover, double antireflective sapphire crystal, 90 round diamonds, ~ 0.68 ct",  21 x 43 mm,15/12 mm,  11.19 mm,  30 meters / 3 ATM,Alligator leather,Black,Pin buckle,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","In 2010, CORUM celebrates the thirtieth anniversary of this extraordinary caliber by revealing a timepiece with an original and unheard-of interpretation. 
The Golden Bridge Miss offers a feminine expression of a watch design milestone.  With the  Golden Bridge Miss, everything changes, but ultimately nothing changes."
B113/00823 - 113.102.69/0001 0000,https://www.corum-watches.com/collections/golden-bridge/miss/B113_00823-white-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge Miss, White Gold Diamonds,,USD,45320.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Miss/B113_00823_2000x1300.jpg,Switzerland," 18K white gold, open back cover, double antireflective sapphire crystal, 90 round diamonds, ~ 0.68 ct",  21 x 43 mm,15/12 mm,  11.19 mm,  30 meters / 3 ATM,Alligator leather,Black,Pin buckle,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","In 2010, CORUM celebrates the thirtieth anniversary of this extraordinary caliber by revealing a timepiece with an original and unheard-of interpretation. 
The Golden Bridge Miss offers a feminine expression of a watch design milestone.  With the  Golden Bridge Miss, everything changes, but ultimately nothing changes."
B113/00976 - 113.102.69/V880 0000,https://www.corum-watches.com/collections/golden-bridge/miss/b113_00976,Corum,Golden Bridge collection,Golden Bridge Miss, White Gold Diamonds,,USD,68640.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Miss/B113_00976_2000x1300.jpg,Switzerland," 18K white gold, open back cover, double antireflective sapphire crystal, 90 round diamonds, ~ 0.68 ct",  21 x 43 mm,15/12 mm,  11.19 mm,  30 meters / 3 ATM,18K white gold,,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","In 2010, CORUM celebrates the thirtieth anniversary of this extraordinary caliber by revealing a timepiece with an original and unheard-of interpretation. 
The Golden Bridge Miss offers a feminine expression of a watch design milestone.  With the  Golden Bridge Miss, everything changes, but ultimately nothing changes."
B113/03842 - 113.112.85/0001 0000,https://www.corum-watches.com/collections/golden-bridge/miss/B113_03842-rose-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge Miss, Rose Gold Diamonds,,USD,47410.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Miss/B113_03842_2000x1300.jpg,Switzerland," 5N 18K rose gold, 136 round diamonds, ~ 0.93 ct",  21 x 43 mm,15/12 mm,  11.19 mm,  30 meters / 3 ATM,Alligator leather,Black,Pin buckle,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","In 2010, CORUM celebrates the thirtieth anniversary of this extraordinary caliber by revealing a timepiece with an original and unheard-of interpretation. 
The Golden Bridge Miss offers a feminine expression of a watch design milestone.  With the  Golden Bridge Miss, everything changes, but ultimately nothing changes."
B113/03843 - 113.112.69/0001 0000,https://www.corum-watches.com/collections/golden-bridge/miss/B113_03843-white-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge Miss, White Gold Diamonds,,USD,52580.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Miss/B113_03843_2000x1300.jpg,Switzerland," 18K white gold, 136 round diamonds, ~ 0.93 ct",  21 x 43 mm,15/12 mm,  11.19 mm,  30 meters / 3 ATM,Alligator leather,Black,Pin buckle,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","In 2010, CORUM celebrates the thirtieth anniversary of this extraordinary caliber by revealing a timepiece with an original and unheard-of interpretation. 
The Golden Bridge Miss offers a feminine expression of a watch design milestone.  With the  Golden Bridge Miss, everything changes, but ultimately nothing changes."
B113/04454 - 113.991.85/V790 GG85R,https://www.corum-watches.com/collections/golden-bridge/43/b113_04454-rose-gold-baguette,Corum,Golden Bridge collection,Golden Bridge 43, Rose Gold Baguette ,Limited edition: XX/18,USD,176990.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/43/B113_04454_2000x1300.jpg,Switzerland," 5N 18K rose gold, apphire case middle, double antireflective sapphire, sapphire caseback, 68 baguette-cut multicolor sapphires, ~ 4.36 ct, 22 baguette-cut tsavorites, ~ 1.48 ct, 6 baguette-cut rubies, ~ 0.54 ct",  43 mm,22/18 mm,  9.10 mm,  30 meters / 3 ATM,5N 18K rose gold,,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Since the launch of the Golden Bridge in 1980, the iconic timepiece has been offered in a barrel or rectangular shaped case to show off the ace up Switzerland’s watchmaking sleeve for all to see. More than 35 years after it was first created, the Golden Bridge Collection has been enhanced with a round case of 43 mm in diameter, bridging two worlds of excellence: watchmaking and architecture.
Symbolising a bridge suspended between cultures and civilisations, CORUM's baguette movement underscores the link that unites the two arts, nourished by excellence, and puts the spotlight on the delicacy of the baguette movement, its gold bridges and plate."
B113/04470 - 113.992.69/ V790 GG69G,https://www.corum-watches.com/collections/golden-bridge/43/b113_04470-white-gold-baguette,Corum,Golden Bridge collection,Golden Bridge 43, White Gold Baguette ,Limited edition: XX/18,USD,237050.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/43/B113_04470_2000x1300.jpg,Switzerland," 18K white gold, sapphire case middle, double antireflective sapphire, sapphire caseback, 96 baguette-cut diamonds, ~ 6.56 ct",  43 mm,22/18 mm,  9.10 mm,  30 meters / 3 ATM,18K white gold,,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Since the launch of the Golden Bridge in 1980, the iconic timepiece has been offered in a barrel or rectangular shaped case to show off the ace up Switzerland’s watchmaking sleeve for all to see. More than 35 years after it was first created, the Golden Bridge Collection has been enhanced with a round case of 43 mm in diameter, bridging two worlds of excellence: watchmaking and architecture.
Symbolising a bridge suspended between cultures and civilisations, CORUM's baguette movement underscores the link that unites the two arts, nourished by excellence, and puts the spotlight on the delicacy of the baguette movement, its gold bridges and plate."
B113/03909 - 113.901.69/0F01 DR69G,https://www.corum-watches.com/collections/golden-bridge/43/B113_03909-white-gold-dragon-diamonds,Corum,Golden Bridge collection,Golden Bridge 43, White Gold Dragon Diamonds,Limited edition: XX/18,USD,145750.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/43/B113_03909_2000x1300.jpg,Switzerland," 18K white gold, 88 round diamonds, ~ 2.16 ct",  43 mm,22/18 mm,  8.80 mm,  30 meters / 3 ATM,Alligator leather,Black,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Since the launch of the Golden Bridge in 1980, the iconic timepiece has been offered in a barrel or rectangular shaped case to show off the ace up Switzerland’s watchmaking sleeve for all to see. More than 35 years after it was first created, the Golden Bridge Collection has been enhanced with a round case of 43 mm in diameter, bridging two worlds of excellence: watchmaking and architecture.
Symbolising a bridge suspended between cultures and civilisations, CORUM's baguette movement underscores the link that unites the two arts, nourished by excellence, and puts the spotlight on the delicacy of the baguette movement, its gold bridges and plate."
B113/03010 - 113.900.55/0F02 GG55R,https://www.corum-watches.com/collections/golden-bridge/43/b113_03010-rose-gold,Corum,Golden Bridge collection,Golden Bridge 43, Rose Gold,,USD,66220.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/43/B113_03010_2000x1300.jpg,Switzerland," 5N 18K rose gold, sapphire case middle, double antireflective sapphire, sapphire caseback",  43 mm,22/18 mm,  8.80 mm,  30 meters / 3 ATM,Alligator leather,Brown,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Since the launch of the Golden Bridge in 1980, the iconic timepiece has been offered in a barrel or rectangular shaped case to show off the ace up Switzerland’s watchmaking sleeve for all to see. More than 35 years after it was first created, the Golden Bridge Collection has been enhanced with a round case of 43 mm in diameter, bridging two worlds of excellence: watchmaking and architecture.
Symbolising a bridge suspended between cultures and civilisations, CORUM's baguette movement underscores the link that unites the two arts, nourished by excellence, and puts the spotlight on the delicacy of the baguette movement, its gold bridges and plate."
B113/03252 - 113.990.85/0F02 GG85R,https://www.corum-watches.com/collections/golden-bridge/43/B113_03252-rose-gold-baguette,Corum,Golden Bridge collection,Golden Bridge 43, Rose Gold Baguette ,Limited edition: XX/18,USD,206030.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/43/B113_03252_2000x1300.jpg,Switzerland," 5N 18K rose gold, sapphire case middle, double antireflective sapphire, sapphire caseback, 96 baguette-cut diamonds, ~ 6.56 ct",  43 mm,22/18 mm,  9.10 mm,  30 meters / 3 ATM,Alligator leather,Brown,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Since the launch of the Golden Bridge in 1980, the iconic timepiece has been offered in a barrel or rectangular shaped case to show off the ace up Switzerland’s watchmaking sleeve for all to see. More than 35 years after it was first created, the Golden Bridge Collection has been enhanced with a round case of 43 mm in diameter, bridging two worlds of excellence: watchmaking and architecture.
Symbolising a bridge suspended between cultures and civilisations, CORUM's baguette movement underscores the link that unites the two arts, nourished by excellence, and puts the spotlight on the delicacy of the baguette movement, its gold bridges and plate."
B113/04069 - 113.992.69/0F01 GG69G,https://www.corum-watches.com/collections/golden-bridge/43/B113_04069-white-gold-baguette,Corum,Golden Bridge collection,Golden Bridge 43, White Gold Baguette,Limited edition: XX/18,USD,215380.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/43/B113_04069_2000x1300.jpg,Switzerland," 18K white gold, sapphire case middle, double antireflective sapphire, sapphire caseback, 96 baguette-cut diamonds, ~ 6.56 ct",  43 mm,22/18 mm,  9.10 mm,  30 meters / 3 ATM,Alligator leather,Black,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Since the launch of the Golden Bridge in 1980, the iconic timepiece has been offered in a barrel or rectangular shaped case to show off the ace up Switzerland’s watchmaking sleeve for all to see. More than 35 years after it was first created, the Golden Bridge Collection has been enhanced with a round case of 43 mm in diameter, bridging two worlds of excellence: watchmaking and architecture.
Symbolising a bridge suspended between cultures and civilisations, CORUM's baguette movement underscores the link that unites the two arts, nourished by excellence, and puts the spotlight on the delicacy of the baguette movement, its gold bridges and plate."
B113/03253 - 113.990.69/0F01 GG69G,https://www.corum-watches.com/collections/golden-bridge/43/B113_03253-white-gold-baguette,Corum,Golden Bridge collection,Golden Bridge 43, White Gold Baguette ,Limited edition: XX/18,USD,215380.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/43/B113_03253_2000x1300.jpg,Switzerland," 18K white gold, sapphire case middle, double antireflective sapphire, sapphire caseback, 96 baguette-cut diamonds, ~ 6.56 ct",  43 mm,22/18 mm,  9.10 mm,  30 meters / 3 ATM,Alligator leather,Black,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Since the launch of the Golden Bridge in 1980, the iconic timepiece has been offered in a barrel or rectangular shaped case to show off the ace up Switzerland’s watchmaking sleeve for all to see. More than 35 years after it was first created, the Golden Bridge Collection has been enhanced with a round case of 43 mm in diameter, bridging two worlds of excellence: watchmaking and architecture.
Symbolising a bridge suspended between cultures and civilisations, CORUM's baguette movement underscores the link that unites the two arts, nourished by excellence, and puts the spotlight on the delicacy of the baguette movement, its gold bridges and plate."
